Game ID,Winner,Loser,Order,Winner Seed,Loser Seed
1,DUKE,SIE,5,1,16
2,TCU,OSU,1,9,8
3,SJU,UNI,26,5,12
4,KU,CBU,30,4,13
5,LOU,USF,3,6,11
6,MSU,NDSU,7,3,14
7,UCLA,UCF,27,7,10
8,CONN,FUR,32,2,15
9,FLA,PVAM,29,1,16
10,IOWA,CLEM,25,9,8
11,VAN,MCN,6,5,12
12,NEB,TROY,2,4,13
13,VCU,UNC,9,11,6
14,ILL,PENN,13,3,14
15,TA&M,SMC,11,10,7
16,HOU,IDHO,15,2,15
17,ARIZ,LIU,19,1,16
18,USU,VILL,23,9,8
19,HPU,WIS,4,12,5
20,ARK,HAW,8,4,13
21,TEX,BYU,12,11,6
22,GONZ,KENN,16,3,14
23,MIA,MIZ,31,7,10
24,PUR,QUC,28,2,15
25,MICH,HOW,10,1,16
26,SLU,UGA,14,9,8
27,TTU,AKR,18,5,12
28,ALA,HOF,22,4,13
29,TENN,M-OH,24,6,11
30,UVA,WRST,20,3,14
31,UK,SCU,17,7,10
32,ISU,TNST,21,2,15
33,DUKE,TCU,35,1,9
35,MSU,LOU,34,3,6
38,NEB,VAN,39,4,5
39,ILL,VCU,38,3,11
40,HOU,TA&M,36,2,10
42,ARK,HPU,40,4,12
43,TEX,GONZ,37,11,3
44,PUR,MIA,41,2,7
45,MICH,SLU,33,1,9
48,ISU,UK,42,2,7
