Game ID,Winner,Loser,Order,Winner Seed,Loser Seed
1,AUB,ALST,5,1,16
2,CREI,LOU,1,9,8
3,MICH,UCSD,15,5,12
4,TA&M,YALE,11,4,13
5,MISS,UNC,23,6,11
6,ISU,LIP,19,3,14
7,UNM,MARQ,27,10,7
8,MSU,BRY,31,2,15
9,FLA,NSU,25,1,16
10,CONN,OU,29,9,8
11,CSU,MEM,20,12,5
12,MD,GCU,24,4,13
13,DRKE,MIZ,12,11,6
14,TTU,UNCW,16,3,14
15,ARK,KU,10,10,7
16,SJU,OMA,14,2,15
17,DUKE,MSM,21,1,16
18,BAY,MSST,17,9,8
19,ORE,LIB,32,5,12
20,ARIZ,AKR,28,4,13
21,BYU,VCU,7,6,11
22,WIS,MONT,3,3,14
23,SMC,VAN,22,7,10
24,ALA,RMU,18,2,15
25,HOU,SIUE,4,1,16
26,GONZ,UGA,8,8,9
27,MCN,CLEM,6,12,5
28,PUR,HPU,2,4,13
29,ILL,XAV,30,6,11
30,UK,TROY,26,3,14
31,UCLA,USU,13,7,10
32,TENN,WOF,9,2,15
33,AUB,CREI,37,1,9
34,MICH,TA&M,35,5,4
35,MISS,ISU,46,6,3
36,MSU,UNM,47,2,10
37,FLA,CONN,41,1,9
38,MD,CSU,45,4,12
39,TTU,DRKE,36,3,11
40,ARK,SJU,34,10,2
41,DUKE,BAY,42,1,9
42,ARIZ,ORE,48,4,5
43,BYU,WIS,38,6,3
44,ALA,SMC,44,2,7
45,HOU,GONZ,39,1,8
46,PUR,MCN,33,4,4
47,UK,ILL,43,3,6
48,TENN,UCLA,40,2,7
51,FLA,MD,50,1,4
52,TTU,ARK,52,3,10
53,DUKE,ARIZ,51,1,4
54,ALA,BYU,49,2,6

